Latitude,Longitude,Date,Time,Elevation
37.213499,127.205828,2023-09-22,21:00:00,
37.145034,127.201068,2023-09-22,21:45:44,
37.213499,127.205828,2023-09-22,22:31:29,122.5
37.213427,127.205824,2023-09-22,22:31:32,122.5
37.213206,127.205742,2023-09-22,22:31:41,122.8
37.212717,127.205594,2023-09-22,22:32:01,120.4
37.206507,127.203334,2023-09-22,22:36:20,113.8
37.204753,127.202696,2023-09-22,22:37:33,113.4
37.199994,127.201188,2023-09-22,22:40:50,112.7
37.199303,127.200976,2023-09-22,22:41:18,111.3
37.197941,127.200532,2023-09-22,22:42:15,101
37.197264,127.200338,2023-09-22,22:42:42,100.3
37.196183,127.200026,2023-09-22,22:43:27,99.5
37.194659,127.199578,2023-09-22,22:44:30,94.9
37.194256,127.199462,2023-09-22,22:44:46,96.3
37.193935,127.1994,2023-09-22,22:44:59,99.8
37.193586,127.199372,2023-09-22,22:45:13,99.6
37.193293,127.199366,2023-09-22,22:45:25,101.8
37.192414,127.199428,2023-09-22,22:46:00,111.4
37.191989,127.199478,2023-09-22,22:46:17,105.6
37.191423,127.199586,2023-09-22,22:46:40,110.1
37.190684,127.199778,2023-09-22,22:47:10,110.5
37.189941,127.200012,2023-09-22,22:47:41,106.5
37.186161,127.201512,2023-09-22,22:50:20,91
37.185321,127.201782,2023-09-22,22:50:54,70
37.184632,127.201964,2023-09-22,22:51:23,86.6
37.183442,127.202204,2023-09-22,22:52:11,82.4
37.182713,127.202296,2023-09-22,22:52:40,79.7
37.180695,127.20253,2023-09-22,22:54:01,74.6
37.179574,127.202688,2023-09-22,22:54:46,72.5
37.177584,127.202908,2023-09-22,22:56:06,70
37.176322,127.203054,2023-09-22,22:56:57,70.1
37.175551,127.203202,2023-09-22,22:57:28,71.1
37.167016,127.205072,2023-09-22,23:03:15,69.9
37.162463,127.206086,2023-09-22,23:06:20,61.2
37.161399,127.206308,2023-09-22,23:07:03,60.7
37.160945,127.20637,2023-09-22,23:07:22,60
37.160555,127.2064,2023-09-22,23:07:37,60.8
37.159735,127.2064,2023-09-22,23:08:10,61.1
37.158595,127.20631,2023-09-22,23:08:56,60.8
37.157957,127.206234,2023-09-22,23:09:22,60.2
37.157312,127.206124,2023-09-22,23:09:48,60
37.156433,127.205906,2023-09-22,23:10:23,60
37.155662,127.205634,2023-09-22,23:10:56,60
37.153451,127.204802,2023-09-22,23:12:28,59.9
37.150886,127.203842,2023-09-22,23:14:15,57.8
37.150439,127.203648,2023-09-22,23:14:34,56.8
37.149993,127.203426,2023-09-22,23:14:53,55.9
37.149442,127.203084,2023-09-22,23:15:18,54.8
37.148355,127.2023,2023-09-22,23:16:08,53.3
37.147109,127.201478,2023-09-22,23:17:04,50.8
37.146735,127.20124,2023-09-22,23:17:21,50.7
37.146504,127.201128,2023-09-22,23:17:31,51
37.146162,127.200984,2023-09-22,23:17:45,51.2
37.145968,127.200936,2023-09-22,23:17:53,51.2
37.145615,127.20087,2023-09-22,23:18:08,50.8
37.145027,127.200854,2023-09-22,23:18:31,50.1
37.144281,127.200912,2023-09-22,23:19:01,50
37.143911,127.200972,2023-09-22,23:19:16,50
37.143718,127.201036,2023-09-22,23:19:24,50.6
37.143405,127.20115,2023-09-22,23:19:37,58.8
37.143098,127.201316,2023-09-22,23:19:51,59.4
37.142723,127.201586,2023-09-22,23:20:08,58.7
37.142163,127.202106,2023-09-22,23:20:36,53.8
37.141603,127.202706,2023-09-22,23:21:05,61.7
37.141188,127.203246,2023-09-22,23:21:29,60.1
37.136712,127.209354,2023-09-22,23:25:54,71.6
37.136231,127.209972,2023-09-22,23:26:21,63.8
37.135697,127.210544,2023-09-22,23:26:50,64.3
37.135278,127.210946,2023-09-22,23:27:11,72.9
37.134978,127.211206,2023-09-22,23:27:25,75
37.134354,127.211668,2023-09-22,23:27:54,78.9
37.133896,127.211952,2023-09-22,23:28:15,82.2
37.133539,127.212158,2023-09-22,23:28:31,83.5
37.133239,127.212298,2023-09-22,23:28:43,86.5
37.132723,127.212506,2023-09-22,23:29:05,89.2
37.132159,127.212688,2023-09-22,23:29:28,91.3
37.131602,127.212784,2023-09-22,23:29:51,83.9
37.130117,127.212944,2023-09-22,23:30:50,73.3
37.128733,127.213066,2023-09-22,23:31:46,69.8
37.128711,127.213022,2023-09-22,23:31:48,69.8
37.127672,127.212904,2023-09-22,23:32:29,62.1
37.127479,127.212858,2023-09-22,23:32:37,60.1
37.127212,127.212744,2023-09-22,23:32:49,58.5
37.126679,127.212378,2023-09-22,23:33:13,55.2
37.126633,127.212366,2023-09-22,23:33:15,54.8
37.125845,127.21135,2023-09-22,23:34:00,50
37.125834,127.211318,2023-09-22,23:34:01,50
37.125697,127.211494,2023-09-22,23:34:09,50
37.125726,127.211502,2023-09-22,23:34:10,50
37.126517,127.212444,2023-09-22,23:34:54,53.5
37.126679,127.212648,2023-09-22,23:35:03,54.6
37.126754,127.212888,2023-09-22,23:35:11,55.3
37.126786,127.213122,2023-09-22,23:35:19,56.8
37.126789,127.213638,2023-09-22,23:35:35,55.2
37.126839,127.213688,2023-09-22,23:35:38,55.3
37.127016,127.213652,2023-09-22,23:35:45,57
37.127478,127.213536,2023-09-22,23:36:04,59.3
37.128671,127.213282,2023-09-22,23:36:52,69.9
37.128707,127.213244,2023-09-22,23:36:54,69.9
37.130019,127.213138,2023-09-22,23:37:47,71.8
37.131448,127.212986,2023-09-22,23:38:44,84.8
37.131768,127.212946,2023-09-22,23:38:57,87.9
37.132153,127.212866,2023-09-22,23:39:13,91.4
37.132644,127.212728,2023-09-22,23:39:33,90.2
37.133163,127.212526,2023-09-22,23:39:55,89.2
37.133827,127.212194,2023-09-22,23:40:23,85.6
37.134354,127.211868,2023-09-22,23:40:47,79.5
37.134592,127.211704,2023-09-22,23:40:58,77.6
37.134852,127.211514,2023-09-22,23:41:10,76.6
37.135245,127.21119,2023-09-22,23:41:29,72.3
37.135787,127.210684,2023-09-22,23:41:56,64.4
37.136267,127.210174,2023-09-22,23:42:21,63.9
37.136829,127.209478,2023-09-22,23:42:52,75.1
37.141652,127.202904,2023-09-22,23:47:37,66.4
37.142033,127.202466,2023-09-22,23:47:58,60.5
37.142657,127.201864,2023-09-22,23:48:30,59
37.143044,127.201558,2023-09-22,23:48:48,57.9
37.143231,127.201432,2023-09-22,23:48:56,56.8
37.143469,127.201318,2023-09-22,23:49:07,54.5
37.143776,127.201192,2023-09-22,23:49:20,50.6
37.143952,127.201144,2023-09-22,23:49:27,50
37.144443,127.201076,2023-09-22,23:49:47,50
37.144955,127.20104,2023-09-22,23:50:07,50.5
37.145036,127.201062,2023-09-22,23:50:10,50.6
